horizon,row_set,model,test_date,is_weekend,n,ml_mae,strongest_baseline,strongest_mae,ml_better
15,core,g0,2026-09-11,False,10066,1.8651649356765292,persistence,2.0015585843074692,True
15,core,g0,2026-09-12,True,8140,1.869206155219129,persistence,1.956379550617088,True
15,core,g0,2026-09-13,True,11563,1.5756229850505235,persistence,1.6536721142515305,True
15,core,g0,2026-09-14,False,9103,1.7368309875732546,persistence,1.8620213288512693,True
15,core,g0,2026-09-15,False,7489,3.263164387862688,persistence,3.3196922151747468,True
15,core,g0,2026-09-16,False,11704,2.8737649747461753,persistence,2.9232151385049896,True
15,core,g0,2026-09-17,False,8295,2.191824290191818,persistence,2.3338720280888885,True
15,all,g0,2026-09-14,False,6583,2.255953992344644,persistence,2.4319914850321616,True
15,all,g0,2026-09-15,False,7405,3.25051506747903,persistence,3.306254684201381,True
15,all,g0,2026-09-16,False,11514,2.899708219432594,persistence,2.9482533679194964,True
15,all,g0,2026-09-17,False,8292,2.1926172801665618,persistence,2.334716410154044,True
30,core,g0,2026-09-11,False,9455,2.574981258002557,persistence,3.019686932713406,True
30,core,g0,2026-09-12,True,7170,2.857919341345382,persistence,3.193689642543687,True
30,core,g0,2026-09-13,True,11425,2.4232014598949725,persistence,2.708601387197445,True
30,core,g0,2026-09-14,False,8956,2.527838835310303,persistence,3.0718346289630656,True
30,core,g0,2026-09-15,False,6862,4.609411918743911,persistence,4.93950674606517,True
30,core,g0,2026-09-16,False,11377,4.04379098331745,persistence,4.49068391987028,True
30,core,g0,2026-09-17,False,7460,3.0283439201811264,persistence,3.5293334504216043,True
30,all,g0,2026-09-14,False,6436,3.2724983212535212,persistence,4.032782205262126,True
30,all,g0,2026-09-15,False,6781,4.587570277770347,persistence,4.91609756255603,True
30,all,g0,2026-09-16,False,11187,4.0637684702535015,persistence,4.50995331198399,True
30,all,g0,2026-09-17,False,7460,3.0283439201811264,persistence,3.5293334504216043,True
60,core,g0,2026-09-11,False,8760,3.453619075718596,persistence,4.6566208206608835,True
60,core,g0,2026-09-12,True,5326,4.381901249924602,persistence,5.327612595639355,True
60,core,g0,2026-09-13,True,11149,3.681400430221509,persistence,4.497398820420349,True
60,core,g0,2026-09-14,False,8662,3.5438742494489612,persistence,5.076978648826691,True
60,core,g0,2026-09-15,False,6065,6.444099366246272,persistence,7.717792965715466,True
60,core,g0,2026-09-16,False,10694,5.398456841387211,persistence,6.982653263146716,True
60,core,g0,2026-09-17,False,5895,3.798373188666786,persistence,5.359866147081434,True
60,all,g0,2026-09-14,False,6142,4.590519897463328,persistence,6.748815839765173,True
60,all,g0,2026-09-15,False,5990,6.405387733992996,persistence,7.678202808080232,True
60,all,g0,2026-09-16,False,10504,5.425100227593083,persistence,7.01009418133257,True
60,all,g0,2026-09-17,False,5895,3.798373188666786,persistence,5.359866147081434,True
120,core,g0,2026-09-11,False,7383,4.592401520742779,lag_24h,6.976168497575905,True
120,core,g0,2026-09-12,True,2456,6.775918316728958,persistence,8.842156513178564,True
120,core,g0,2026-09-13,True,10597,5.1703836091419415,persistence,7.369185362903116,True
120,core,g0,2026-09-14,False,8074,4.590095339591089,persistence,8.277373741907724,True
120,core,g0,2026-09-15,False,5273,7.031833776587021,lag_24h,9.564950892298185,True
120,core,g0,2026-09-16,False,9558,7.169715076970942,lag_24h,9.404360483651406,True
120,core,g0,2026-09-17,False,3821,4.473852256623964,lag_24h,6.900704818727457,True
120,all,g0,2026-09-14,False,5554,5.881436145523433,lag_7d,7.437646714061617,True
120,all,g0,2026-09-15,False,5198,7.009308288585348,seasonal_naive,9.307273990024347,True
120,all,g0,2026-09-16,False,9454,7.143798436970944,seasonal_naive,8.74000338445425,True
120,all,g0,2026-09-17,False,3821,4.473852256623964,seasonal_naive,6.867917284544343,True
180,core,g0,2026-09-11,False,6042,4.636746019739888,lag_24h,6.301991262407269,True
180,core,g0,2026-09-12,True,841,7.695199240688264,persistence,12.2822482204403,True
180,core,g0,2026-09-13,True,9631,5.855359216040449,persistence,9.577079126911762,True
180,core,g0,2026-09-14,False,7486,5.168692988794911,persistence,11.185996074084388,True
180,core,g0,2026-09-15,False,4613,7.408345866704763,lag_24h,9.494727134348084,True
180,core,g0,2026-09-16,False,8766,7.7702455431969275,lag_24h,9.487120133437122,True
180,core,g0,2026-09-17,False,2024,4.327396420913149,lag_24h,5.645355091227158,True
180,all,g0,2026-09-14,False,4966,6.3834749960574415,lag_7d,7.416669244050946,True
180,all,g0,2026-09-15,False,4538,7.381366389044851,seasonal_naive,9.34811665870177,True
180,all,g0,2026-09-16,False,8662,7.758557047266871,seasonal_naive,8.767048166573499,True
180,all,g0,2026-09-17,False,2024,4.327396420913149,lag_24h,5.645355091227158,True
240,core,g0,2026-09-11,False,4858,4.739828931295121,lag_24h,5.400615852382147,True
240,core,g0,2026-09-12,True,172,10.049343555225317,persistence,17.095438683184465,True
240,core,g0,2026-09-13,True,8703,6.392720252582147,lag_24h,9.703502667916812,True
240,core,g0,2026-09-14,False,7201,5.935746311238687,persistence,14.332465563943355,True
240,core,g0,2026-09-15,False,3887,7.861637077467805,lag_24h,9.624065576563822,True
240,core,g0,2026-09-16,False,8017,8.240620860102517,lag_24h,9.56801427651723,True
